id,brand,name,price,quantity
2121,EVGA,XC GAMING,1951.85,66
2122,EVGA,XC HYBRID GAMING,2084.50,46
2123,EVGA,XC ULTRA GAMING,1989.75,64
2124,EVGA,XC ULTRA+,2084.50,30
2125,Gainward,Phantom GS,2084.50,76
2126,GALAX,EX,1838.15,10
2127,Gigabyte,AORUS,1800.25,84
2128,Gigabyte,GAMING OC,1932.90,51
2129,Gigabyte,GAMING OC 3X,1876.05,85
2130,Gigabyte,GAMING OC WHITE,1800.25,90
2131,Gigabyte,WINDFORCE,2065.55,16
2132,Gigabyte,WINDFORCE OC,2065.55,75
2133,Gigabyte,WINDFORCE OC 3X,2084.50,61
2134,Inno3D,Gaming OC X2,2027.65,73
2135,Inno3D,Gaming OC X3,2046.60,24
2136,Inno3D,iChill Black,1951.85,94
2137,Inno3D,iChill X3,1970.80,43
2138,Inno3D,iChill X3 Ultra,1800.25,10
2139,Inno3D,JET,1913.95,14
2140,Inno3D,Twin X2 OC,2027.65,47
2141,KFA2,EX,1932.90,23
2142,KFA2,Work The Frames Edition,1876.05,25
2143,MSI,ARMOR OC,1970.80,46
2144,MSI,GAMING TRIO,1895.00,33
2145,MSI,GAMING X,1819.20,86
2146,MSI,GAMING X TRIO,1876.05,22
2147,MSI,GAMING Z TRIO,2065.55,96
2148,MSI,VENTUS,1913.95,50
2149,MSI,VENTUS GP OC,2065.55,77
2150,MSI,VENTUS OC,1913.95,46
2151,NVIDIA,Founders Edition,2084.50,68
2152,Palit,GameRock,1857.10,95
2153,Palit,GameRock Premium,1857.10,81
2154,Palit,GamingPro,1838.15,43
2155,Palit,JetStream,1876.05,56
2156,PNY,Blower,1838.15,99
2157,PNY,XLR8 Gaming Overclocked Edition,1932.90,48
2158,Zotac,AMP Extreme,1951.85,38
2159,Zotac,GAMING AMP,1895.00,32
2160,Zotac,GAMING Twin Fan,2084.50,26
2161,Zotac,MINI,1913.95,24
2162,Asus,DUAL,2131.80,2
2163,Asus,DUAL Advanced,2006.40,96
2164,Asus,DUAL EVO,1985.50,62
2165,Asus,DUAL EVO OC,2299.00,98
2166,Asus,STRIX GAMING,2110.90,8
2167,Asus,STRIX GAMING Advanced,2173.60,9
2168,Asus,STRIX GAMING OC,2194.50,3
2169,Asus,Turbo,2131.80,86
2170,Asus,Turbo EVO,2299.00,5
2171,EVGA,Black,2194.50,80
2172,EVGA,FTW3,2006.40,16
2173,EVGA,FTW3 ULTRA GAMING,2194.50,22
2174,EVGA,FTW3 ULTRA HYBRID GAMING,2048.20,58
2175,EVGA,GAMING,2215.40,1
2176,EVGA,XC BLACK EDITION GAMING,2236.30,27
2177,EVGA,XC GAMING,2194.50,95
2178,EVGA,XC HYBRID GAMING,2215.40,89
2179,EVGA,XC ULTRA GAMING,2048.20,33
2180,EVGA,XC2 ULTRA GAMING,2110.90,35
2181,Gainward,Phantom GS,2257.20,27
2182,Gainward,Phoenix,2257.20,13
2183,Gainward,Phoenix GS,2278.10,20
2184,Gainward,TRIPLE,2173.60,22
2185,GALAX,OC,2152.70,90
2186,Gigabyte,AORUS,2006.40,4
2187,Gigabyte,AORUS XTREME,2299.00,94
2188,Gigabyte,AORUS XTREME WATERFORCE,2090.00,57
2189,Gigabyte,GAMING OC,2194.50,11
2190,Gigabyte,GAMING OC WHITE,2131.80,90
2191,Gigabyte,TURBO,2173.60,5
